	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
nFOMC20070810confcall.csv_CHAIRMAN	3	0	0	0	0	4	0	0	114	0	0	47	4	0	1	0	0	0	0	0	0	0	46	1	0
nFOMC20070810confcall.csv_MR.	0	2	0	0	0	3	0	3	129	5	0	57	2	0	0	0	1	0	3	1	0	0	1	0	0
nFOMC20070810confcall.csv_MR.	2	0	3	0	0	2	0	0	51	0	0	12	0	15	0	0	2	0	0	0	1	0	0	1	0
nFOMC20070810confcall.csv_MR.	0	0	0	0	0	2	0	0	10	0	0	6	1	0	0	0	0	0	1	0	0	0	1	0	0
nFOMC20070810confcall.csv_MR.	18	0	2	1	0	4	11	5	64	0	1	1	2	0	0	0	0	0	0	0	4	0	3	1	1
nFOMC20070810confcall.csv_MR.	1	1	1	0	3	0	0	0	6	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
nFOMC20070810confcall.csv_MR.	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1
nFOMC20070810confcall.csv_MR.	5	0	0	0	0	0	0	0	12	0	0	9	4	0	0	1	0	0	0	0	0	0	0	0	0
nFOMC20070810confcall.csv_MR.	1	1	0	0	0	4	0	0	38	0	1	4	0	2	1	0	0	0	1	0	0	0	4	0	0
nFOMC20070810confcall.csv_MR.	2	0	2	0	0	0	0	3	14	0	0	3	0	0	0	1	0	2	0	0	2	1	0	0	0
nFOMC20070810confcall.csv_VICE	18	3	3	0	0	23	0	0	80	0	0	26	0	2	0	0	21	0	0	0	0	0	0	0	0
nFOMC20070321meeting.csv_CHAIRMAN	7	0	2	19	0	23	2	0	1274	4	28	1	1	1	0	0	11	1	0	0	0	2	249	5	3
nFOMC20070321meeting.csv_MR.	19	182	1	0	1	0	0	0	1034	363	8	5	0	0	0	0	0	0	0	1	0	0	0	0	0
nFOMC20070321meeting.csv_MR.	0	2	7	2	51	17	0	21	812	31	74	2	0	222	0	0	0	0	8	1	52	5	2	5	0
nFOMC20070321meeting.csv_MR.	0	0	0	6	0	11	0	1	715	0	54	0	14	1	0	0	0	0	59	0	0	2	0	16	0
nFOMC20070321meeting.csv_MR.	6	2	1	0	16	26	0	1	1146	0	121	0	8	2	1	7	0	0	3	0	1	15	27	0	10
nFOMC20070321meeting.csv_MR.	2	4	0	4	0	145	0	2	772	41	54	0	12	0	0	0	0	0	1	0	0	0	11	0	0
nFOMC20070321meeting.csv_MR.	11	26	2	13	0	6	0	4	988	10	140	0	5	0	1	0	34	0	10	0	43	0	0	3	1
nFOMC20070321meeting.csv_MR.	1	0	0	0	1	0	0	0	501	17	23	0	1	2	2	0	0	0	42	13	19	0	0	0	0
nFOMC20070321meeting.csv_MR.	0	0	0	24	24	0	0	0	1013	0	142	0	362	20	0	0	1	0	0	1	1	0	1	0	0
nFOMC20070321meeting.csv_MR.	8	1	0	5	0	24	2	0	865	6	60	0	0	0	0	0	3	4	2	0	0	0	0	63	0
nFOMC20070321meeting.csv_MR.	3	0	0	38	2	0	3	1	1321	1	174	0	0	0	0	0	7	0	45	2	14	4	0	0	0
nFOMC20070321meeting.csv_MR.	0	12	1	0	0	15	6	82	610	0	46	0	40	0	3	0	2	0	1	0	2	1	0	2	1
nFOMC20070321meeting.csv_MR.	19	46	1	1	1	2	0	4	785	0	6	0	0	0	0	2	9	1	7	0	1	5	0	2	196
nFOMC20070321meeting.csv_MR.	0	0	11	1	2	16	2	1	441	0	60	0	0	0	0	0	0	0	0	0	0	0	5	5	1
nFOMC20070321meeting.csv_MR.	0	3	0	0	2	0	6	0	952	10	0	0	1	0	4	7	0	16	5	0	0	255	2	0	0
nFOMC20070321meeting.csv_MR.	67	0	1	21	0	27	162	2	881	0	70	0	12	0	0	0	0	0	0	0	33	0	17	0	0
nFOMC20070321meeting.csv_MS.	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0
nFOMC20070321meeting.csv_MS.	5	4	0	1	21	0	1	0	496	0	0	0	0	0	0	189	0	0	4	0	0	8	0	0	0
nFOMC20070321meeting.csv_MS.	0	0	0	26	7	45	0	0	1355	21	104	1	11	0	8	0	0	0	91	1	14	0	2	4	0
